ASN,Operator,Tested Prefixes,Spoofing Prefixes
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=5378"" target=""_blank"" style=""color: 159124;"">5378</a>",Vodafone Limited,16,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=205892"" target=""_blank"" style=""color: 159124;"">205892</a>",Nomical Ltd,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=11857"" target=""_blank"" style=""color: 159124;"">11857 (AEGON),</a>",n.a.,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=12390"" target=""_blank"" style=""color: 159124;"">12390 (KINGSTON-UK-AS),</a>",KCOM Group Public Limited Company,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=12496"" target=""_blank"" style=""color: 159124;"">12496 (IDNET),</a>",Infinity Developments Limited,2,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=12513"" target=""_blank"" style=""color: 159124;"">12513 (ECLIPSE),</a>",KCOM GROUP PLC,2,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=12576"" target=""_blank"" style=""color: 159124;"">12576 (ORANGE-PCS),</a>",EE Limited,52,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=1273"" target=""_blank"" style=""color: 159124;"">1273 (CW),</a>",n.a.,2,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=12989"" target=""_blank"" style=""color: 159124;"">12989 (HWNG),</a>",n.a.,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=13009"" target=""_blank"" style=""color: 159124;"">13009 (VDATA),</a>",VData Ltd,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=13037"" target=""_blank"" style=""color: 159124;"">13037 (ZEN-AS),</a>",Zen Internet Ltd,9,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=13213"" target=""_blank"" style=""color: 159124;"">13213 (UK2NET-AS),</a>",UK-2 Limited,9,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=13237"" target=""_blank"" style=""color: 159124;"">13237 (LAMBDANET-AS),</a>",UK-2 Limited,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=13285"" target=""_blank"" style=""color: 159124;"">13285 (OPALTELECOM-AS),</a>",TalkTalk Communications Limited,55,3
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=14061"" target=""_blank"" style=""color: 159124;"">14061 (DIGITALOCEAN-ASN),</a>",n.a.,20,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=1421"" target=""_blank"" style=""color: 159124;"">1421 (WANSECURITY),</a>",n.a.,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=16082"" target=""_blank"" style=""color: 159124;"">16082 (SPITFIRE),</a>",Spitfire Network Services Limited,3,1
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=16353"" target=""_blank"" style=""color: f7602a;"">16353 (Merula),</a>",Merula Limited,3,1
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=16509"" target=""_blank"" style=""color: 159124;"">16509 (AMAZON-02),</a>",n.a.,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=1699"" target=""_blank"" style=""color: 159124;"">1699 (ANS-1699-AS),</a>",n.a.,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=19607"" target=""_blank"" style=""color: 159124;"">19607 (SB-US),</a>",n.a.,1,0